ICD9,ICD9_Desc,Category,Category_Desc
090.42,Congen syph meningitis,A50,Congenital syphilis
090.49,Juvenile neurosyph NEC,A50,Congenital syphilis
090.5,Late congen syph symptom,A50,Congenital syphilis
090.6,Late congen syph latent,A50,Congenital syphilis
090.7,Late congen syph NOS,A50,Congenital syphilis
090.9,Congenital syphilis NOS,A50,Congenital syphilis
091.0,Primary genital syphilis,A51,Early syphilis
091.1,Primary anal syphilis,A51,Early syphilis
091.2,Primary syphilis NEC,A51,Early syphilis
091.3,Secondary syph skin,A51,Early syphilis
091.4,Syphilitic adenopathy,A51,Early syphilis
091.50,Syphilitic uveitis NOS,A51,Early syphilis
091.51,Syphilit chorioretinitis,A51,Early syphilis
091.52,Syphilitic iridocyclitis,A51,Early syphilis
091.61,Syphilitic periostitis,A51,Early syphilis
091.62,Syphilitic hepatitis,A51,Early syphilis
091.69,Second syph viscera NEC,A51,Early syphilis
091.7,Second syphilis relapse,A51,Early syphilis
091.81,Acute syphil meningitis,A51,Early syphilis
091.82,Syphilitic alopecia,A51,Early syphilis
091.89,Secondary syphilis NEC,A51,Early syphilis
091.9,Secondary syphilis NOS,A51,Early syphilis
092.0,Early syph latent relaps,A51,Early syphilis
092.9,Early syphil latent NOS,A51,Early syphilis
093.0,"Aortic aneurysm, syphil",A52,Late syphilis
093.1,Syphilitic aortitis,A52,Late syphilis
093.20,Syphil endocarditis NOS,A52,Late syphilis
093.21,Syphilitic mitral valve,A52,Late syphilis
093.22,Syphilitic aortic valve,A52,Late syphilis
093.23,Syphil tricuspid valve,A52,Late syphilis
093.24,Syphil pulmonary valve,A52,Late syphilis
093.81,Syphilitic pericarditis,A52,Late syphilis
093.82,Syphilitic myocarditis,A52,Late syphilis
093.89,Cardiovascular syph NEC,A52,Late syphilis
093.9,Cardiovascular syph NOS,A52,Late syphilis
094.0,Tabes dorsalis,A52,Late syphilis
094.1,General paresis,A52,Late syphilis
094.2,Syphilitic meningitis,A52,Late syphilis
094.3,Asymptomat neurosyphilis,A52,Late syphilis
094.81,Syphilitic encephalitis,A52,Late syphilis
094.82,Syphilitic parkinsonism,A52,Late syphilis
094.83,Syph dissem retinitis,A52,Late syphilis
094.84,Syphilitic optic atrophy,A52,Late syphilis
094.85,Syph retrobulb neuritis,A52,Late syphilis
094.86,Syphil acoustic neuritis,A52,Late syphilis
094.87,Syph rupt cereb aneurysm,A52,Late syphilis
094.89,Neurosyphilis NEC,A52,Late syphilis
094.9,Neurosyphilis NOS,A52,Late syphilis
095.0,Syphilitic episcleritis,A52,Late syphilis
095.1,Syphilis of lung,A52,Late syphilis
095.2,Syphilitic peritonitis,A52,Late syphilis
095.3,Syphilis of liver,A52,Late syphilis
095.4,Syphilis of kidney,A52,Late syphilis
095.5,Syphilis of bone,A52,Late syphilis
095.6,Syphilis of muscle,A52,Late syphilis
095.7,Syphilis of tendon/bursa,A52,Late syphilis
095.8,Late sympt syphilis NEC,A52,Late syphilis
095.9,Late sympt syphilis NOS,A52,Late syphilis
096,Late syphilis latent,A52,Late syphilis
097.0,Late syphilis NOS,A52,Late syphilis
097.1,Latent syphilis NOS,A53,Other and unspecified syphilis
097.9,Syphilis NOS,A53,Other and unspecified syphilis
098.0,Acute gc infect lower gu,A54,Gonococcal infection
098.10,Gc (acute) upper gu NOS,A54,Gonococcal infection
098.11,Gc cystitis (acute),A54,Gonococcal infection
098.12,Gc prostatitis (acute),A54,Gonococcal infection
098.13,Gc orchitis (acute),A54,Gonococcal infection
098.14,Gc sem vesiculit (acute),A54,Gonococcal infection
098.15,Gc cervicitis (acute),A54,Gonococcal infection
098.16,Gc endometritis (acute),A54,Gonococcal infection
098.17,Acute gc salpingitis,A54,Gonococcal infection
098.19,Gc (acute) upper gu NEC,A54,Gonococcal infection
098.2,Chr gc infect lower gu,A54,Gonococcal infection
098.30,Chr gc upper gu NOS,A54,Gonococcal infection
098.31,"Gc cystitis, chronic",A54,Gonococcal infection
098.32,"Gc prostatitis, chronic",A54,Gonococcal infection
098.33,"Gc orchitis, chronic",A54,Gonococcal infection
098.34,"Gc sem vesiculitis, chr",A54,Gonococcal infection
098.35,"Gc cervicitis, chronic",A54,Gonococcal infection
098.36,"Gc endometritis, chronic",A54,Gonococcal infection
098.37,Gc salpingitis (chronic),A54,Gonococcal infection
098.39,Chr gc upper gu NEC,A54,Gonococcal infection
098.40,Gonococcal conjunctivit,A54,Gonococcal infection
098.41,Gonococcal iridocyclitis,A54,Gonococcal infection
098.42,Gonococcal endophthalmia,A54,Gonococcal infection
098.43,Gonococcal keratitis,A54,Gonococcal infection
098.49,Gonococcal eye NEC,A54,Gonococcal infection
098.50,Gonococcal arthritis,A54,Gonococcal infection
098.51,Gonococcal synovitis,A54,Gonococcal infection
098.52,Gonococcal bursitis,A54,Gonococcal infection
098.53,Gonococcal spondylitis,A54,Gonococcal infection
098.59,Gc infect joint NEC,A54,Gonococcal infection
098.6,Gonococcal infec pharynx,A54,Gonococcal infection
098.7,Gc infect anus & rectum,A54,Gonococcal infection
098.81,Gonococcal keratosis,A54,Gonococcal infection
098.82,Gonococcal meningitis,A54,Gonococcal infection
098.83,Gonococcal pericarditis,A54,Gonococcal infection
098.84,Gonococcal endocarditis,A54,Gonococcal infection
098.85,Gonococcal heart dis NEC,A54,Gonococcal infection
098.86,Gonococcal peritonitis,A54,Gonococcal infection
098.89,Gonococcal inf site NEC,A54,Gonococcal infection
099.0,Chancroid,A57,Chancroid
099.1,Lymphogranuloma venereum,A55,Chlamydial lymphogranuloma (venereum)
099.2,Granuloma inguinale,A58,Granuloma inguinale
099.3,Reiter's disease,M02,Postinfective and reactive arthropathies
099.40,Unspcf nongnccl urethrts,N34,Urethritis and urethral syndrome
099.41,Chlmyd trachomatis ureth,N34,Urethritis and urethral syndrome
099.49,Nongc urth oth spf orgsm,N34,Urethritis and urethral syndrome
099.50,Oth VD chlm trch unsp st,A56,Other sexually transmitted chlamydial diseases
099.51,Oth VD chlm trch pharynx,A56,Other sexually transmitted chlamydial diseases
099.52,Oth VD chlm trch ans rct,A56,Other sexually transmitted chlamydial diseases
099.53,Oth VD chlm trch lowr gu,A56,Other sexually transmitted chlamydial diseases
099.54,Oth VD chlm trch oth gu,A56,Other sexually transmitted chlamydial diseases
099.55,Ot VD chlm trch unspf gu,A56,Other sexually transmitted chlamydial diseases
099.56,Ot VD chlm trch prtoneum,A56,Other sexually transmitted chlamydial diseases
099.59,Oth VD chlm trch spcf st,A56,Other sexually transmitted chlamydial diseases
099.8,Venereal disease NEC,A63,"Oth predominantly sexually transmitted diseases, NEC"
099.9,Venereal disease NOS,A64,Unspecified sexually transmitted disease
100.0,Leptospiros icterohem,A27,Leptospirosis
100.81,Leptospiral meningitis,A27,Leptospirosis
100.89,Leptospiral infect NEC,A27,Leptospirosis
100.9,Leptospirosis NOS,A27,Leptospirosis
101,Vincent's angina,A69,Other spirochetal infections
102.0,Initial lesions yaws,A66,Yaws
102.1,Multiple papillomata,A66,Yaws
102.2,Early skin yaws NEC,A66,Yaws
102.3,Hyperkeratosis of yaws,A66,Yaws
102.4,"Gummata and ulcers, yaws",A66,Yaws
102.5,Gangosa,A66,Yaws
102.6,Yaws of bone & joint,A66,Yaws
102.7,Yaws manifestations NEC,A66,Yaws
102.8,Latent yaws,A66,Yaws
102.9,Yaws NOS,A66,Yaws
103.0,Pinta primary lesions,A67,Pinta [carate]
103.1,Pinta intermed lesions,A67,Pinta [carate]
103.2,Pinta late lesions,A67,Pinta [carate]
103.3,Pinta mixed lesions,A67,Pinta [carate]
103.9,Pinta NOS,A67,Pinta [carate]
104.0,Nonvenereal endemic syph,A65,Nonvenereal syphilis
104.8,Spirochetal infect NEC,A69,Other spirochetal infections
104.9,Spirochetal infect NOS,A69,Other spirochetal infections
110.0,Dermatophyt scalp/beard,B35,Dermatophytosis
110.1,Dermatophytosis of nail,B35,Dermatophytosis
110.2,Dermatophytosis of hand,B35,Dermatophytosis
110.3,Dermatophytosis of groin,B35,Dermatophytosis
110.4,Dermatophytosis of foot,B35,Dermatophytosis
110.5,Dermatophytosis of body,B35,Dermatophytosis
110.6,Deep dermatophytosis,B35,Dermatophytosis
110.8,Dermatophytosis site NEC,B35,Dermatophytosis
110.9,Dermatophytosis site NOS,B35,Dermatophytosis
111.0,Pityriasis versicolor,B36,Other superficial mycoses
111.1,Tinea nigra,B36,Other superficial mycoses
111.2,Tinea blanca,B36,Other superficial mycoses
111.3,Black piedra,B36,Other superficial mycoses
111.8,Dermatomycoses NEC,B36,Other superficial mycoses
111.9,Dermatomycosis NOS,B36,Other superficial mycoses
112.0,Thrush,B37,Candidiasis
112.1,Candidal vulvovaginitis,B37,Candidiasis
112.2,Candidias urogenital NEC,B37,Candidiasis
112.3,Cutaneous candidiasis,B37,Candidiasis
112.4,Candidiasis of lung,B37,Candidiasis
112.5,Disseminated candidiasis,B37,Candidiasis
112.81,Candidal endocarditis,B37,Candidiasis
112.82,Candidal otitis externa,B37,Candidiasis
112.83,Candidal meningitis,B37,Candidiasis
112.84,Candidal esophagitis,B37,Candidiasis
112.85,Candidal enteritis,B37,Candidiasis
112.89,Candidiasis site NEC,B37,Candidiasis
112.9,Candidiasis site NOS,B37,Candidiasis
114.0,Primary coccidioidomycos,B38,Coccidioidomycosis
114.1,Prim cutan coccidioid,B38,Coccidioidomycosis
114.2,Coccidioidal meningitis,B38,Coccidioidomycosis
114.3,Progress coccidioid NEC,B38,Coccidioidomycosis
114.4,Ch pl coccidioidomycosis,B38,Coccidioidomycosis
114.5,Pl cocidioidomycosis NOS,B38,Coccidioidomycosis
114.9,Coccidioidomycosis NOS,B38,Coccidioidomycosis
115.00,Histoplasma capsulat NOS,B39,Histoplasmosis
115.01,Histoplasm capsul mening,B39,Histoplasmosis
115.02,Histoplasm capsul retina,B39,Histoplasmosis
115.03,Histoplasm caps pericard,B39,Histoplasmosis
115.04,Histoplasm caps endocard,B39,Histoplasmosis
115.05,Histoplasm caps pneumon,B39,Histoplasmosis
115.09,Histoplasma capsulat NEC,B39,Histoplasmosis
115.10,Histoplasma duboisii NOS,B39,Histoplasmosis
115.11,Histoplasm dubois mening,B39,Histoplasmosis
115.12,Histoplasm dubois retina,B39,Histoplasmosis
115.13,Histoplasm dub pericard,B39,Histoplasmosis
115.14,Histoplasm dub endocard,B39,Histoplasmosis
115.15,Histoplasm dub pneumonia,B39,Histoplasmosis
115.19,Histoplasma duboisii NEC,B39,Histoplasmosis
115.90,Histoplasmosis NOS,B39,Histoplasmosis
115.91,Histoplasmosis meningit,B39,Histoplasmosis
115.92,Histoplasmosis retinitis,B39,Histoplasmosis
115.93,Histoplasmosis pericard,B39,Histoplasmosis
115.94,Histoplasmosis endocard,B39,Histoplasmosis
115.95,Histoplasmosis pneumonia,B39,Histoplasmosis
115.99,Histoplasmosis NEC,B39,Histoplasmosis
116.0,Blastomycosis,B40,Blastomycosis
116.1,Paracoccidioidomycosis,B41,Paracoccidioidomycosis
116.2,Lobomycosis,B48,"Other mycoses, not elsewhere classified"
117.0,Rhinosporidiosis,B48,"Other mycoses, not elsewhere classified"
117.1,Sporotrichosis,B42,Sporotrichosis
117.2,Chromoblastomycosis,B43,Chromomycosis and pheomycotic abscess
117.3,Aspergillosis,B44,Aspergillosis
117.4,Mycotic mycetomas,B47,Mycetoma
117.5,Cryptococcosis,B45,Cryptococcosis
117.6,Allescheriosis,B48,"Other mycoses, not elsewhere classified"
117.7,Zygomycosis,B46,Zygomycosis
117.8,Dematiacious fungi inf,B48,"Other mycoses, not elsewhere classified"
117.9,Mycoses NEC & NOS,B48,"Other mycoses, not elsewhere classified"
118,Opportunistic mycoses,B48,"Other mycoses, not elsewhere classified"
120.0,Schistosoma haematobium,B65,Schistosomiasis [bilharziasis]
120.1,Schistosoma mansoni,B65,Schistosomiasis [bilharziasis]
120.2,Schistosoma japonicum,B65,Schistosomiasis [bilharziasis]
120.3,Cutaneous schistosoma,B65,Schistosomiasis [bilharziasis]
120.8,Schistosomiasis NEC,B65,Schistosomiasis [bilharziasis]
120.9,Schistosomiasis NOS,B65,Schistosomiasis [bilharziasis]
121.0,Opisthorchiasis,B66,Other fluke infections
121.1,Clonorchiasis,B66,Other fluke infections
121.2,Paragonimiasis,B66,Other fluke infections
121.3,Fascioliasis,B66,Other fluke infections
121.4,Fasciolopsiasis,B66,Other fluke infections
121.5,Metagonimiasis,B66,Other fluke infections
121.6,Heterophyiasis,B66,Other fluke infections
121.8,Trematode infection NEC,B66,Other fluke infections
121.9,Trematode infection NOS,B66,Other fluke infections
122.0,Echinococc granul liver,B67,Echinococcosis
122.1,Echinococc granul lung,B67,Echinococcosis
122.2,Echinococc gran thyroid,B67,Echinococcosis
122.3,Echinococc granul NEC,B67,Echinococcosis
122.4,Echinococc granul NOS,B67,Echinococcosis
122.5,Echinococ multiloc liver,B67,Echinococcosis
122.6,Echinococc multiloc NEC,B67,Echinococcosis
122.7,Echinococc multiloc NOS,B67,Echinococcosis
122.8,Echinococcosis NOS liver,B67,Echinococcosis
122.9,Echinococcosis NEC/NOS,B67,Echinococcosis
123.0,Taenia solium intestine,B68,Taeniasis
123.1,Cysticercosis,B69,Cysticercosis
123.2,Taenia saginata infect,B68,Taeniasis
123.3,Taeniasis NOS,B68,Taeniasis
123.4,Diphyllobothrias intest,B70,Diphyllobothriasis and sparganosis
123.5,Sparganosis,B70,Diphyllobothriasis and sparganosis
123.6,Hymenolepiasis,B71,Other cestode infections
123.8,Cestode infection NEC,B71,Other cestode infections
123.9,Cestode infection NOS,B71,Other cestode infections
124,Trichinosis,B75,Trichinellosis
125.0,Bancroftian filariasis,B74,Filariasis
125.1,Malayan filariasis,B74,Filariasis
125.2,Loiasis,B74,Filariasis
125.3,Onchocerciasis,B73,Onchocerciasis
125.4,Dipetalonemiasis,B74,Filariasis
125.5,Mansonella ozzardi infec,B74,Filariasis
125.6,Filariasis NEC,B74,Filariasis
125.7,Dracontiasis,B72,Dracunculiasis
125.9,Filariasis NOS,B74,Filariasis
126.0,Ancylostoma duodenale,B76,Hookworm diseases
126.1,Necator Americanus,B76,Hookworm diseases
126.2,Ancylostoma braziliense,B76,Hookworm diseases
126.3,Ancylostoma ceylanicum,B76,Hookworm diseases
126.8,Ancylostoma NEC,B76,Hookworm diseases
126.9,Ancylostomiasis NOS,B76,Hookworm diseases
127.0,Ascariasis,B77,Ascariasis
127.1,Anisakiasis,B81,"Other intestinal helminthiases, not elsewhere classified"
127.2,Strongyloidiasis,B78,Strongyloidiasis
127.3,Trichuriasis,B79,Trichuriasis
127.4,Enterobiasis,B80,Enterobiasis
127.5,Capillariasis,B81,"Other intestinal helminthiases, not elsewhere classified"
127.6,Trichostrongyliasis,B81,"Other intestinal helminthiases, not elsewhere classified"
127.7,Intest helminthiasis NEC,B81,"Other intestinal helminthiases, not elsewhere classified"
127.8,Mixed intestine helminth,B81,"Other intestinal helminthiases, not elsewhere classified"
127.9,Intest helminthiasis NOS,B82,Unspecified intestinal parasitism
128.0,Toxocariasis,B83,Other helminthiases
128.1,Gnathostomiasis,B83,Other helminthiases
128.8,Helminthiasis NEC,B83,Other helminthiases
128.9,Helminthiasis NOS,B83,Other helminthiases
129,Intestin parasitism NOS,B82,Unspecified intestinal parasitism
130.0,Toxoplasm meningoenceph,B58,Toxoplasmosis
130.1,Toxoplasm conjunctivitis,B58,Toxoplasmosis
130.2,Toxoplasm chorioretinit,B58,Toxoplasmosis
130.3,Toxoplasma myocarditis,B58,Toxoplasmosis
130.4,Toxoplasma pneumonitis,B58,Toxoplasmosis
130.5,Toxoplasma hepatitis,B58,Toxoplasmosis
130.7,Toxoplasmosis site NEC,B58,Toxoplasmosis
130.8,Multisystem toxoplasmos,B58,Toxoplasmosis
130.9,Toxoplasmosis NOS,B58,Toxoplasmosis
131.00,Urogenital trichomon NOS,A59,Trichomoniasis
131.01,Trichomonal vaginitis,A59,Trichomoniasis
131.02,Trichomonal urethritis,A59,Trichomoniasis
131.03,Trichomonal prostatitis,A59,Trichomoniasis
131.09,Urogenital trichomon NEC,A59,Trichomoniasis
131.8,Trichomoniasis NEC,A59,Trichomoniasis
131.9,Trichomoniasis NOS,A59,Trichomoniasis
132.0,Pediculus capitis,B85,Pediculosis and phthiriasis
132.1,Pediculus corporis,B85,Pediculosis and phthiriasis
132.2,Phthirus pubis,B85,Pediculosis and phthiriasis
132.3,Mixed pedicul & phthirus,B85,Pediculosis and phthiriasis
132.9,Pediculosis NOS,B85,Pediculosis and phthiriasis
133.0,Scabies,B86,Scabies
133.8,Acariasis NEC,B88,Other infestations
133.9,Acariasis NOS,B88,Other infestations
134.0,Myiasis,B87,Myiasis
134.1,Arthropod infest NEC,B88,Other infestations
134.2,Hirudiniasis,B83,Other helminthiases
134.8,Infestation NEC,B88,Other infestations
134.9,Infestation NOS,B88,Other infestations
135,Sarcoidosis,D86,Sarcoidosis
136.0,Ainhum,L94,Other localized connective tissue disorders
136.1,Behcet's syndrome,M35,Other systemic involvement of connective tissue
136.21,Infectn d/t acanthamoeba,B60,"Other protozoal diseases, not elsewhere classified"
136.29,Infc free-liv amebae NEC,B60,"Other protozoal diseases, not elsewhere classified"
136.3,Pneumocystosis,B59,Pneumocystosis
136.4,Psorospermiasis,B60,"Other protozoal diseases, not elsewhere classified"
136.5,Sarcosporidiosis,A07,Other protozoal intestinal diseases
136.8,Infect/parasite dis NEC,B60,"Other protozoal diseases, not elsewhere classified"
136.9,Infect/parasite dis NOS,B89,Unspecified parasitic disease
137.0,"Late effect tb, resp/NOS",B90,Sequelae of tuberculosis
137.1,Late effect cns TB,B90,Sequelae of tuberculosis
137.2,Late effect gu TB,B90,Sequelae of tuberculosis
137.3,Late eff bone & joint TB,B90,Sequelae of tuberculosis
137.4,Late effect TB NEC,B90,Sequelae of tuberculosis
138,Late effect acute polio,B91,Sequelae of poliomyelitis
139.0,Late eff viral encephal,B94,Sequelae of other and unsp infectious and parasitic diseases
139.1,Late effect of trachoma,B94,Sequelae of other and unsp infectious and parasitic diseases
139.8,Late eff infect dis NEC,B94,Sequelae of other and unsp infectious and parasitic diseases
140.0,Mal neo upper vermilion,C00,Malignant neoplasm of lip
140.1,Mal neo lower vermilion,C00,Malignant neoplasm of lip
140.3,"Mal neo upper lip, inner",C00,Malignant neoplasm of lip
140.4,"Mal neo lower lip, inner",C00,Malignant neoplasm of lip
140.5,"Mal neo lip, inner NOS",C00,Malignant neoplasm of lip
140.6,"Mal neo lip, commissure",C00,Malignant neoplasm of lip
140.8,Mal neo lip NEC,C00,Malignant neoplasm of lip
140.9,Mal neo lip/vermil NOS,C00,Malignant neoplasm of lip
141.0,Mal neo tongue base,C01,Malignant neoplasm of base of tongue
141.1,Mal neo dorsal tongue,C02,Malignant neoplasm of other and unspecified parts of tongue
141.2,Mal neo tip/lat tongue,C02,Malignant neoplasm of other and unspecified parts of tongue
141.3,Mal neo ventral tongue,C02,Malignant neoplasm of other and unspecified parts of tongue
141.4,Mal neo ant 2/3 tongue,C02,Malignant neoplasm of other and unspecified parts of tongue
141.5,Mal neo tongue junction,C02,Malignant neoplasm of other and unspecified parts of tongue
141.6,Mal neo lingual tonsil,C02,Malignant neoplasm of other and unspecified parts of tongue
141.8,Malig neo tongue NEC,C02,Malignant neoplasm of other and unspecified parts of tongue
141.9,Malig neo tongue NOS,C02,Malignant neoplasm of other and unspecified parts of tongue
142.0,Malig neo parotid,C07,Malignant neoplasm of parotid gland
142.1,Malig neo submandibular,C08,Malignant neoplasm of other and unsp major salivary glands
142.2,Malig neo sublingual,C08,Malignant neoplasm of other and unsp major salivary glands
142.8,Mal neo maj salivary NEC,C08,Malignant neoplasm of other and unsp major salivary glands
142.9,Mal neo salivary NOS,C08,Malignant neoplasm of other and unsp major salivary glands
143.0,Malig neo upper gum,C03,Malignant neoplasm of gum
143.1,Malig neo lower gum,C03,Malignant neoplasm of gum
143.8,Malig neo gum NEC,C03,Malignant neoplasm of gum
143.9,Malig neo gum NOS,C03,Malignant neoplasm of gum
144.0,Mal neo ant floor mouth,C04,Malignant neoplasm of floor of mouth
144.1,Mal neo lat floor mouth,C04,Malignant neoplasm of floor of mouth
144.8,Mal neo mouth floor NEC,C04,Malignant neoplasm of floor of mouth
144.9,Mal neo mouth floor NOS,C04,Malignant neoplasm of floor of mouth
145.0,Mal neo cheek mucosa,C06,Malignant neoplasm of other and unspecified parts of mouth
145.1,Mal neo mouth vestibule,C06,Malignant neoplasm of other and unspecified parts of mouth
145.2,Malig neo hard palate,C05,Malignant neoplasm of palate
145.3,Malig neo soft palate,C05,Malignant neoplasm of palate
145.4,Malignant neoplasm uvula,C05,Malignant neoplasm of palate
145.5,Malignant neo palate NOS,C05,Malignant neoplasm of palate
145.6,Malig neo retromolar,C06,Malignant neoplasm of other and unspecified parts of mouth
145.8,Malig neoplasm mouth NEC,C06,Malignant neoplasm of other and unspecified parts of mouth
145.9,Malig neoplasm mouth NOS,C06,Malignant neoplasm of other and unspecified parts of mouth
146.0,Malignant neopl tonsil,C09,Malignant neoplasm of tonsil
146.1,Mal neo tonsillar fossa,C09,Malignant neoplasm of tonsil
146.2,Mal neo tonsil pillars,C09,Malignant neoplasm of tonsil
146.3,Malign neopl vallecula,C10,Malignant neoplasm of oropharynx
146.4,Mal neo ant epiglottis,C10,Malignant neoplasm of oropharynx
146.5,Mal neo epiglottis junct,C10,Malignant neoplasm of oropharynx
146.6,Mal neo lat oropharynx,C10,Malignant neoplasm of oropharynx
146.7,Mal neo post oropharynx,C10,Malignant neoplasm of oropharynx
146.8,Mal neo oropharynx NEC,C10,Malignant neoplasm of oropharynx
146.9,Malig neo oropharynx NOS,C10,Malignant neoplasm of oropharynx
147.0,Mal neo super nasopharyn,C11,Malignant neoplasm of nasopharynx
147.1,Mal neo post nasopharynx,C11,Malignant neoplasm of nasopharynx
147.2,Mal neo lat nasopharynx,C11,Malignant neoplasm of nasopharynx
147.3,Mal neo ant nasopharynx,C11,Malignant neoplasm of nasopharynx
147.8,Mal neo nasopharynx NEC,C11,Malignant neoplasm of nasopharynx
147.9,Mal neo nasopharynx NOS,C11,Malignant neoplasm of nasopharynx
148.0,Mal neo postcricoid,C13,Malignant neoplasm of hypopharynx
148.1,Mal neo pyriform sinus,C12,Malignant neoplasm of pyriform sinus
148.2,Mal neo aryepiglott fold,C13,Malignant neoplasm of hypopharynx
148.3,Mal neo post hypopharynx,C13,Malignant neoplasm of hypopharynx
148.8,Mal neo hypopharynx NEC,C13,Malignant neoplasm of hypopharynx
148.9,Mal neo hypopharynx NOS,C13,Malignant neoplasm of hypopharynx
149.0,Mal neo pharynx NOS,C14,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
149.1,Mal neo waldeyer's ring,C14,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
149.8,Mal neo oral/pharynx NEC,C14,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
149.9,Mal neo orophryn ill-def,C14,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
150.0,Mal neo cervical esophag,C15,Malignant neoplasm of esophagus
150.1,Mal neo thoracic esophag,C15,Malignant neoplasm of esophagus
150.2,Mal neo abdomin esophag,C15,Malignant neoplasm of esophagus
150.3,Mal neo upper 3rd esoph,C15,Malignant neoplasm of esophagus
150.4,Mal neo middle 3rd esoph,C15,Malignant neoplasm of esophagus
150.5,Mal neo lower 3rd esoph,C15,Malignant neoplasm of esophagus
150.8,Mal neo esophagus NEC,C15,Malignant neoplasm of esophagus
150.9,Mal neo esophagus NOS,C15,Malignant neoplasm of esophagus
151.0,Mal neo stomach cardia,C16,Malignant neoplasm of stomach
151.1,Malignant neo pylorus,C16,Malignant neoplasm of stomach
151.2,Mal neo pyloric antrum,C16,Malignant neoplasm of stomach
151.3,Mal neo stomach fundus,C16,Malignant neoplasm of stomach
151.4,Mal neo stomach body,C16,Malignant neoplasm of stomach
151.5,Mal neo stom lesser curv,C16,Malignant neoplasm of stomach
151.6,Mal neo stom great curv,C16,Malignant neoplasm of stomach
151.8,Malig neopl stomach NEC,C16,Malignant neoplasm of stomach
151.9,Malig neopl stomach NOS,C16,Malignant neoplasm of stomach
152.0,Malignant neopl duodenum,C17,Malignant neoplasm of small intestine
152.1,Malignant neopl jejunum,C17,Malignant neoplasm of small intestine
152.2,Malignant neoplasm ileum,C17,Malignant neoplasm of small intestine
152.3,Mal neo meckel's divert,C17,Malignant neoplasm of small intestine
152.8,Mal neo small bowel NEC,C17,Malignant neoplasm of small intestine
152.9,Mal neo small bowel NOS,C17,Malignant neoplasm of small intestine
153.0,Mal neo hepatic flexure,C18,Malignant neoplasm of colon
153.1,Mal neo transverse colon,C18,Malignant neoplasm of colon
153.2,Mal neo descend colon,C18,Malignant neoplasm of colon
153.3,Mal neo sigmoid colon,C18,Malignant neoplasm of colon
153.4,Malignant neoplasm cecum,C18,Malignant neoplasm of colon
153.5,Malignant neo appendix,C18,Malignant neoplasm of colon
153.6,Malig neo ascend colon,C18,Malignant neoplasm of colon
153.7,Mal neo splenic flexure,C18,Malignant neoplasm of colon
153.8,Malignant neo colon NEC,C18,Malignant neoplasm of colon
153.9,Malignant neo colon NOS,C18,Malignant neoplasm of colon
154.0,Mal neo rectosigmoid jct,C19,Malignant neoplasm of rectosigmoid junction
154.1,Malignant neopl rectum,C20,Malignant neoplasm of rectum
154.2,Malig neopl anal canal,C21,Malignant neoplasm of anus and anal canal
154.3,Malignant neo anus NOS,C21,Malignant neoplasm of anus and anal canal
154.8,Mal neo rectum/anus NEC,C21,Malignant neoplasm of anus and anal canal
155.0,"Mal neo liver, primary",C22,Malignant neoplasm of liver and intrahepatic bile ducts
155.1,Mal neo intrahepat ducts,C22,Malignant neoplasm of liver and intrahepatic bile ducts
155.2,Malignant neo liver NOS,C22,Malignant neoplasm of liver and intrahepatic bile ducts
156.0,Malig neo gallbladder,C23,Malignant neoplasm of gallbladder
156.1,Mal neo extrahepat ducts,C24,Malignant neoplasm of other and unsp parts of biliary tract
156.2,Mal neo ampulla of vater,C24,Malignant neoplasm of other and unsp parts of biliary tract
156.8,Malig neo biliary NEC,C24,Malignant neoplasm of other and unsp parts of biliary tract
156.9,Malig neo biliary NOS,C24,Malignant neoplasm of other and unsp parts of biliary tract
157.0,Mal neo pancreas head,C25,Malignant neoplasm of pancreas
157.1,Mal neo pancreas body,C25,Malignant neoplasm of pancreas
157.2,Mal neo pancreas tail,C25,Malignant neoplasm of pancreas
157.3,Mal neo pancreatic duct,C25,Malignant neoplasm of pancreas
157.4,Mal neo islet langerhans,C25,Malignant neoplasm of pancreas
157.8,Malig neo pancreas NEC,C25,Malignant neoplasm of pancreas
157.9,Malig neo pancreas NOS,C25,Malignant neoplasm of pancreas
158.0,Mal neo retroperitoneum,C48,Malignant neoplasm of retroperitoneum and peritoneum
158.8,Mal neo peritoneum NEC,C48,Malignant neoplasm of retroperitoneum and peritoneum
158.9,Mal neo peritoneum NOS,C48,Malignant neoplasm of retroperitoneum and peritoneum
159.0,Malig neo intestine NOS,C26,Malignant neoplasm of other and ill-defined digestive organs
159.1,Malignant neo spleen NEC,C26,Malignant neoplasm of other and ill-defined digestive organs
159.8,Mal neo gi/intra-abd NEC,C26,Malignant neoplasm of other and ill-defined digestive organs
159.9,Mal neo GI tract ill-def,C26,Malignant neoplasm of other and ill-defined digestive organs
160.0,Mal neo nasal cavities,C30,Malignant neoplasm of nasal cavity and middle ear
160.1,Malig neo middle ear,C30,Malignant neoplasm of nasal cavity and middle ear
160.2,Mal neo maxillary sinus,C31,Malignant neoplasm of accessory sinuses
160.3,Mal neo ethmoidal sinus,C31,Malignant neoplasm of accessory sinuses
160.4,Malig neo frontal sinus,C31,Malignant neoplasm of accessory sinuses
